URL,Status Code,Content-Type,Parent URL,Input Line,lo
https://wsalibrary.wordpress.com/,200,text/html; charset=UTF-8,http://library.soton.ac.uk/artistsbooks,192,Wordpress
https://wsalibrary.wordpress.com/,200,text/html; charset=UTF-8,https://library.soton.ac.uk/wsa/home,351,Wordpress
https://wsalibrary.wordpress.com/,200,text/html; charset=UTF-8,http://library.soton.ac.uk/wsa,639,Wordpress
https://wsalibrary.wordpress.com/,200,text/html; charset=UTF-8,https://library.soton.ac.uk/c.php?g=131315&p=4709318,760,Wordpress
https://generic.wordpress.soton.ac.uk/researchmethods/managing-data/,200,text/html; charset=UTF-8,http://library.soton.ac.uk/researchdata/planning,674,Wordpress
https://generic.wordpress.soton.ac.uk/researchmethods/managing-data/,200,text/html; charset=UTF-8,https://library.soton.ac.uk/researchdata/planning,355,Wordpress
https://www.thinglink.com/view/scenario/1818660216288314021/accessibility,200,text/html; charset=utf-8,http://library.soton.ac.uk/research/pure,210,ThingLink
https://generic.wordpress.soton.ac.uk/publishingresearch/,200,text/html; charset=UTF-8,http://library.soton.ac.uk/research/training,265,Wordpress
https://generic.wordpress.soton.ac.uk/researchmethods/,200,text/html; charset=UTF-8,http://library.soton.ac.uk/research/training,308,Wordpress
https://app.widgets.thinglink.com/accessibility/1585247234675441665,200,text/html; charset=utf-8,http://library.soton.ac.uk/research/training,309,ThingLink
https://guides.soton.ac.uk/open/library/articulate/search-strategy/story.html,200,text/html,https://library.soton.ac.uk/sash/workshops/finding-information,801,Articulate
https://guides.soton.ac.uk/open/library/articulate/Understanding-your-reading-lists/story.html,200,text/html,https://library.soton.ac.uk/sash/workshops/finding-information,864,Articulate
https://generic.wordpress.soton.ac.uk/researchmethods/,200,text/html; charset=UTF-8,https://library.soton.ac.uk/sash/workshops/finding-information,886,Wordpress
https://guides.soton.ac.uk/open/library/articulate/Subject-Guides/story.html,200,text/html,https://library.soton.ac.uk/sash/workshops/finding-information,887,Articulate
https://guides.soton.ac.uk/open/library/articulate/evaluating-information/story.html,200,text/html,https://library.soton.ac.uk/sash/workshops/critical-thinking,947,Articulate
https://guides.soton.ac.uk/open/library/articulate/evaluating-information/story_html5.html,200,text/html,http://library.soton.ac.uk/sash/critical-thinking,250,Articulate
https://rise.articulate.com/share/mlHNMfnDgvI5WzgccG_-60l8iHDKk3tQ#/lessons/iAZuzC0K3ZQ29ECQyCHt8KjIhcexaMr_,200,text/html,http://library.soton.ac.uk/sash/critical-thinking,307,Articulate
https://www.thinglink.com/view/scene/1877657037140132326/accessibility,200,text/html; charset=utf-8,https://library.soton.ac.uk/sash/generative-ai,655,ThingLink
https://www.thinglink.com/view/scenario/1910331815164379813,200,text/html;charset=UTF-8,https://library.soton.ac.uk/proofreadingtraining,695,ThingLink
http://generic.wordpress.soton.ac.uk/researchmethods/wp-content/uploads/sites/308/2018/11/Time-Management-Top-Tips.pdf,503,text/html; charset=UTF-8,https://library.soton.ac.uk/sash/time-management,950,Wordpress
