URL,Status Code,Content-Type,Parent URL,Input Line,lo
https://generic.wordpress.soton.ac.uk/gettingstarted/,200,text/html; charset=UTF-8,https://library.soton.ac.uk,47,Wordpress
https://www.thinglink.com/card/1734893194337845734,200,text/html;charset=UTF-8,https://library.soton.ac.uk,73,ThingLink
https://www.thinglink.com/view/scenario/1818660216288314021/accessibility,200,text/html; charset=utf-8,https://library.soton.ac.uk/research/pure,189,ThingLink
https://generic.wordpress.soton.ac.uk/publishingresearch/,200,text/html; charset=UTF-8,https://library.soton.ac.uk/research/training,391,Wordpress
https://generic.wordpress.soton.ac.uk/researchmethods/,200,text/html; charset=UTF-8,https://library.soton.ac.uk/research/training,424,Wordpress
https://app.widgets.thinglink.com/accessibility/1585247234675441665,200,text/html; charset=utf-8,https://library.soton.ac.uk/research/training,426,ThingLink
https://wsalibrary.wordpress.com/,200,text/html; charset=UTF-8,https://library.soton.ac.uk/wsa,648,Wordpress
https://generic.wordpress.soton.ac.uk/digital-learning/2020/03/31/sources-of-images-to-use-in-online-learning/,200,text/html; charset=UTF-8,https://library.soton.ac.uk/customer-service/visit,983,Wordpress
https://eur03.safelinks.protection.outlook.com/?url=https%3A%2F%2Fwww.thinglink.com%2Fview%2Fscenario%2F1849044688238019046&data=05%7C02%7CB.K.Kimber-Bradshaw%40soton.ac.uk%7Ccef42b6ef06e4597cba908dc80ac111a%7C4a5378f929f44d3ebe89669d03ada9d8%7C0%7C0%7C638526723706824710%7CUnknown%7CTWFpbGZsb3d8eyJWIjoiMC4wLjAwMDAiLCJQIjoiV2luMzIiLCJBTiI6Ik1haWwiLCJXVCI6Mn0%3D%7C0%7C%7C%7C&sdata=K2juLOm9vuIgeRcMNgn58BjtpHHXHXaEtAwFSDVyEKw%3D&reserved=0,200,text/html;charset=UTF-8,https://library.soton.ac.uk/sash/workshops/online-training,754,ThingLink
https://southampton.cloud.panopto.eu/Panopto/Pages/Viewer.aspx?id=19bc5178-531e-4c5d-bd68-add4000ec545,200,text/html; charset=utf-8,https://library.soton.ac.uk/sash/workshops/online-training,767,Panopto
https://southampton.cloud.panopto.eu/Panopto/Pages/Viewer.aspx?id=5f6a3ba1-730f-4f2c-b842-ac6400f4baef,200,text/html; charset=utf-8,https://library.soton.ac.uk/sash/workshops/online-training,772,Panopto
https://guides.soton.ac.uk/open/library/articulate/search-strategy/story.html,200,text/html,https://library.soton.ac.uk/sash/workshops/online-training,777,Articulate
https://coursecast.soton.ac.uk/Panopto/Pages/Viewer.aspx?id=a2e8c05a-d7e9-4023-a21e-0d74cd9fa446,200,text/html; charset=utf-8,https://library.soton.ac.uk/sash/workshops/online-training,780,Panopto
https://southampton.cloud.panopto.eu/Panopto/Pages/Viewer.aspx?id=84ce166a-6817-4f57-867b-adff00fa37ee,200,text/html; charset=utf-8,https://library.soton.ac.uk/sash/workshops/online-training,782,Panopto
https://southampton.cloud.panopto.eu/Panopto/Pages/Viewer.aspx?id=bf815ba4-780c-47c7-9765-ae2f00cfe3d0,200,text/html; charset=utf-8,https://library.soton.ac.uk/sash/workshops/online-training,785,Panopto
https://www.thinglink.com/view/scenario/1910331815164379813,200,text/html;charset=UTF-8,https://library.soton.ac.uk/sash/workshops/online-training,789,ThingLink
https://coursecast.soton.ac.uk/Panopto/Pages/Viewer.aspx?id=ddb38ee5-4c73-4852-94b0-a9ed0100d609,200,text/html; charset=utf-8,https://library.soton.ac.uk/sash/workshops/online-training,801,Panopto
https://southampton.cloud.panopto.eu/Panopto/Pages/Viewer.aspx?id=53a1b76d-6657-45ad-b19a-ac4c0099dafa,200,text/html; charset=utf-8,https://library.soton.ac.uk/sash/workshops/online-training,803,Panopto
https://southampton.cloud.panopto.eu/Panopto/Pages/Viewer.aspx?id=92b0b11f-c83f-4c4a-8b86-ac5b010b83d6,200,text/html; charset=utf-8,https://library.soton.ac.uk/sash/workshops/online-training,820,Panopto
https://coursecast.soton.ac.uk/Panopto/Pages/Viewer.aspx?id=0c8c4985-29f5-49ef-b234-9ab1404583a2,200,text/html; charset=utf-8,https://library.soton.ac.uk/sash/workshops/online-training,826,Panopto
https://guides.soton.ac.uk/open/library/articulate/Referencing/story.html  ,404,text/html; charset=utf-8,https://library.soton.ac.uk/sash/workshops/online-training,831,Articulate
https://guides.soton.ac.uk/open/library/articulate/evaluating-information/story.html,200,text/html,https://library.soton.ac.uk/sash/workshops/online-training,833,Articulate
https://coursecast.soton.ac.uk/Panopto/Pages/Viewer.aspx?id=21c5ff1b-0462-453a-9e0d-a991010df3e4,200,text/html; charset=utf-8,https://library.soton.ac.uk/sash/workshops/online-training,834,Panopto
https://southampton.cloud.panopto.eu/Panopto/Pages/Viewer.aspx?id=3af73060-64af-4e1e-9414-ac6b00deed74,200,text/html; charset=utf-8,https://library.soton.ac.uk/sash/workshops/online-training,837,Panopto
https://southampton.cloud.panopto.eu/Panopto/Pages/Viewer.aspx?id=6de294ea-6369-4b0e-9c1e-ad0f00bf438a,200,text/html; charset=utf-8,https://library.soton.ac.uk/sash/workshops/online-training,868,Panopto
https://coursecast.soton.ac.uk/Panopto/Pages/Viewer.aspx?id=9d6fafb9-82ed-4fe9-9439-ad8b7b594e5a,200,text/html; charset=utf-8,https://library.soton.ac.uk/sash/workshops/online-training,869,Panopto
https://southampton.cloud.panopto.eu/Panopto/Pages/Viewer.aspx?id=f8bbde4b-e618-4b23-8cad-ad0f00f98bbe,200,text/html; charset=utf-8,https://library.soton.ac.uk/sash/workshops/online-training,880,Panopto
